,Assets,Cases,Constituency,Education,Liabilities,Name,Party
0,0,4,RAJKOT,12th Pass,0,Parmar Vijay,BSP
1,0,2,ALAPPUZHA,Graduate Professional,"22,20,700",A M Ariff,CPI(M)
2,0,0,CHITRADURGA,Graduate,0,A Narayanaswamy,BJP
3,0,0,COIMBATORE,5th Pass,0,A Natarajan,IND
4,0,1,KOZHIKODE,12th Pass,"20,79,872",A Pradeep Kumar,CPI(M)
5,0,0,DAVANAGERE,10th Pass,"20,403",A T Dadakhalandar,IND
6,0,0,VELLORE,10th Pass,0,A. Beemarao Milinther,IND
7,0,0,BANGALORE CENTRAL,10th Pass,"3,75,000",A. Christhuraj,IND
8,0,0,BELLARY,8th Pass,0,A. Devadas,SUCI(C)
9,0,0,VELLORE,5th Pass,0,A. Habeebulla,Desiya Uzhavar Uzhaipalar Kazhagam
10,0,0,BULDHANA,12th Pass,"7,00,000",A. Hafeez A. Aziz,BSP
11,0,0,CHITTOOR,5th Pass,0,A. Hemanth,IND
12,0,0,MAHESANA,Graduate Professional,"9,62,20,673",A. J. Patel,INC
13,0,0,CUDDALORE,Graduate Professional,0,A. Jayamani,IND
14,0,0,CUDDALORE,8th Pass,"9,20,000",A. Manikandan,Purvanchal Janta Party (Secular)
15,0,0,CUDDALORE,Graduate Professional,0,A. Marimuthu,IND
16,0,6,NILGIRIS,Graduate Professional,"14,24,914",A. Raja,DMK
17,0,0,VELLORE,12th Pass,0,A. Vijaya Kumar,IND
18,0,0,CHEVELLA,12th Pass,0,A.A. Sabri,IND
19,0,0,SIVAGANGA,10th Pass,"8,00,000",A.Antony Sesu Raja,IND
20,0,0,VELLORE,Graduate,"36,31,32,594",A.C. Shanmugam,AIADMK
21,0,0,CHENNAI NORTH,Post Graduate,"1,24,97,000",A.G. Mourya,Makkal Needhi Maiam
22,0,0,PUDUCHERRY,Graduate Professional,"1,79,146",A.G.Pathimaraj,BSP
23,0,0,CHENNAI SOUTH,Post Graduate,0,A.J.Sherine,Naam Tamilar Katchi
24,0,6,ARAKKONAM,Post Graduate,"77,10,578",A.K. Moorthy,Pattali Makkal Katchi
25,0,0,TIRUVALLUR,12th Pass,"53,000",A.Manikandan,IND
26,0,0,CHENNAI SOUTH,Graduate Professional,"14,000",A.Naresh,Tamil Nadu Ilangyar Katchi
27,0,0,SIVAGANGA,12th Pass,"3,35,000",A.Radha Krishnan,IND
28,0,0,BANGALORE SOUTH,Graduate,"4,60,000",A.Raju,BSP
29,0,0,ATTINGAL,Doctorate,"36,11,333",A.Sampath,CPI(M)
30,0,0,TIRUPPUR,8th Pass,0,A.Senthilvel,IND
31,0,0,SIVAGANGA,8th Pass,"63,000",A.Velladurai,Ezhuchi Tamilargal Munnetra Kazhagam
32,0,0,KARUR,Literate,"18,269",Aadhi Krishnan P,BSP
33,0,0,HARIDWAR,Literate,0,Aadil,IND
34,0,0,JAMNAGAR,8th Pass,0,Aamin Mamadbhai Safiya,IND
35,0,0,PORBANDAR,8th Pass,"13,29,600",Aantroliya Karabhai,IND
36,0,0,MADHA,8th Pass,0,Aappa Aaba Lokare	,BSP
37,0,0,ADILABAD,5th Pass,0,Aare Ellanna,IND
38,0,0,NIZAMABAD,12th Pass,0,Aare Sayanna,IND
39,0,0,JANJGIR CHAMPA,Post Graduate,0,Aashish Ratre,Peoples Party of India (Democratic)
40,0,0,DURG,Post Graduate,0,Aatma Ram Sahu,SUCI(C)
41,0,0,BASTAR,8th Pass,0,Aaytu Ram Mandavi,BSP
42,0,0,SECUNDERABAD,12th Pass,0,Abdallah Ibrahim,IND
43,0,0,SRINAGAR,8th Pass,0,Abdual Rashid Ganie,Jammu & Kashmir National Panthers Party
44,0,0,SECUNDERABAD,10th Pass,0,Abdul Azeem,IND
45,0,0,BANGALORE NORTH,8th Pass,"58,000",Abdul Azeez,Karnataka Pragnyavantha Janatha Party
46,0,0,KALIABOR,Graduate,0,Abdul Aziz,NPP
47,0,0,MAYILADUTHURAI,Graduate,0,Abdul Baseeth,IND
48,0,0,BANGALORE NORTH,10th Pass,"1,01,32,000",Abdul Basheer,IND
49,0,0,DAKSHINA KANNADA,5th Pass,0,Abdul Hameed,IND
50,0,3,KANNUR,10th Pass,0,Abdul Jabbar K K,SDPI
51,0,0,HINGOLI,8th Pass,0,Abdul Kadir Mastan Sayyed,IND
52,0,0,BANGALORE NORTH,Post Graduate,"1,24,00,000",Abdul Karim Hashimpeer Desai,IND
53,0,0,ERNAKULAM,8th Pass,0,Abdul Khader,Samajwadi Forward Bloc
54,0,0,LAKSHADWEEP,5th Pass,0,Abdul Khader Haji,BJP
55,0,0,BARPETA,Post Graduate,"27,03,693",Abdul Khaleque,INC
56,0,0,SRINAGAR,8th Pass,0,Abdul Khaliq Bhat,SHS
57,0,2,MALAPPURAM,10th Pass,0,Abdul Majeed Faizy,SDPI
58,0,0,DAVANAGERE,5th Pass,"80,000",Abdul Nazeer Sab,IND
59,0,0,BARAMULLA,Graduate Professional,"4,73,600",Abdul Qayoom Wani,Jammu & Kashmir Peoples Democratic Party
60,0,0,UDUPI CHIKMAGALUR,8th Pass,"18,40,000",Abdul Rahman,IND
61,0,1,NANDED,5th Pass,0,Abdul Rais Ahmed Abdul Jabbar,Ambedkar National Congress
62,0,0,SRINAGAR,10th Pass,0,Abdul Rashid Banday,IND
63,0,0,MALAPPURAM,8th Pass,"13,00,000",Abdul Salam,IND
64,0,0,NANDED,12th Pass,"61,10,332",Abdul Samad,SP
65,0,1,ARARIA,10th Pass,"1,19,028",Abdul Wahid Khan,IND
66,0,4,KURNOOL,8th Pass,0,Abdul Waris,SDPI
67,0,0,THANJAVUR,10th Pass,0,Abdulbuhari.K,IND
68,0,0,CHIKKBALLAPUR,Post Graduate,"31,00,000",Abdulkarim Desai,IND
69,0,0,PATAN,Literate,0,Abdulkudus Abdulmajid Molapiya,IND
70,0,0,KATIHAR,12th Pass,"40,000",Abdur Rahman,Peoples Party of India (Democratic)
71,0,4,BALURGHAT,Graduate Professional,"98,84,000",Abdus Sadek Sarkar,INC
72,0,1,BIDAR,Graduate,0,Abdus Sattar Mujahed,Akhil Bharatiya Muslim League (Secular)
73,0,0,JANGIPUR,Graduate Professional,"3,04,21,037",Abhijit Mukherjee,INC
74,0,2,SANGLI,Graduate,0,Abhijit Vamanrao Awade-Bichukle,IND
75,0,2,SATARA,Graduate,0,Abhijit Wamanrao -Bichukale,IND
76,0,0,BHAGALPUR,12th Pass,"40,70,000",Abhishek Priyadarshi,IND
77,0,1,VILUPPURAM,Graduate,"2,00,000",Abirami P,Tamil Nadu Ilangyar Katchi
78,0,0,MALDAHA DAKSHIN,Doctorate,"7,28,107",Abu Hasem Khan Chowdhury,INC
79,0,0,MURSHIDABAD,Post Graduate,0,"Abu Hena, S/O - Late Abdus Sattar",INC
80,0,0,MURSHIDABAD,12th Pass,0,"Abu Hena, S/O - Sazzad Ali",IND
81,0,1,DHUBRI,Post Graduate,"22,10,543",Abu Taher Bepari,INC
82,0,3,MURSHIDABAD,8th Pass,"13,50,000",Abu Taher Khan,AITC
83,0,0,KANDHAMAL,Doctorate,0,Achyutananda Samanta,BJD
84,0,0,SOLAPUR,Graduate Professional,0,Ad. Karande Manisha Manohar,IND
